,id,subnumber,headword,context,,ste,nsm,translation,ref,filename,speaker,1,2,3,chaptertitle,sectiontitle,relatedword,relatedphrase,relatedvalue,functiontags,notes
,14,3,,,"can’t say something like this to Keith “I don’t want you to do this, because of this you can’t do it.”","  {""ste"": ""When someone""},{  ""ste"": ""is doing something, someone else""},{  ""ste"": ""can’t say something like this to Keith “I don’t want you to do this, because of this you can’t do it.”""}","{""nsm"": ""many people think like this:""},{""nsm"": ""when someone is doing something, someone else can’t say something like this to this someone:""},{""nsm"": ""“I don’t want you to do this, because of this you can’t do it”""},",,,,,,,,,,,,,,
,14,4,,,Or “You don’t know how to do this. I know how to do this. You can’t not do it as I say.”,"  {""ste"": ""When someone""},{  ""ste"": ""is doing something, someone else""},{  ""ste"": ""can’t say something like this to Keith “I don’t want you to do this, because of this you can’t do it.”""},{  ""ste"": ""Or “You don’t know how to do this. I know how to do this. You can’t not do it as I say.”""}","{""nsm"": ""many people think like this:""},{""nsm"": ""when someone is doing something, someone else can’t say something like this to this someone:""},{""nsm"": ""“I don’t want you to do this, because of this you can’t do it”""},{""nsm"": """"},",,,,,,,,,,,,,,
,15,1,not being forced to do something,,"No one can say to another person “I want you to do this, you have to do it because of this.”","  {""ste"": ""No one can say to another person “I want you to do this, you have to do it because of this.”""}","{""nsm"": ""[people think like this:]""},",,{Wierzbicka:2006hj p. 52},,,,,value,,,,,,,
,15,2,,,"If the other person said “I don’t want to do it, I will not do it.”","  {""ste"": ""No one can say to another person “I want you to do this, you have to do it because of this.”""},{  ""ste"": ""If the other person said “I don’t want to do it, I will not do it.”""}","{""nsm"": ""[people think like this:]""},{""nsm"": ""no one can say to another person:""},",,,,,,,,,,,,,,
,15,3,,,,"  {""ste"": ""No one can say to another person “I want you to do this, you have to do it because of this.”""},{  ""ste"": ""If the other person said “I don’t want to do it, I will not do it.”""},{  ""ste"": """"}","{""nsm"": ""[people think like this:]""},{""nsm"": ""no one can say to another person:""},{""nsm"": ""“I want you to do this you have to do it because of this”""},",,,,,,,,,,,,,,
,16,1,not forcing someone to do something,,"When I want someone to do something [for me], I don’t want this person to think like this “This person wants me to do it, I can’t not do it.”","  {""ste"": ""When I want someone to do something for me], I don’t want this person to think like this “This person wants me to do it, I can’t not do it.”""}","{""nsm"": ""[people think like this:]""},",,{Wong:2004tw p. 234},,,,,value,,,,,,,
,16,2,,,It is bad if someone thinks about me like this.,"  {""ste"": ""When I want someone to do something for me], I don’t want this person to think like this “This person wants me to do it, I can’t not do it.”""},{  ""ste"": ""It is bad if someone thinks about me like this.""}","{""nsm"": ""[people think like this:]""},{""nsm"": ""when I want someone to do something""},",,,,,,,,,,,,,,
,16,3,,,"Because of this, I say some things, I don’t say some other things.","  {""ste"": ""When I want someone to do something for me], I don’t want this person to think like this “This person wants me to do it, I can’t not do it.”""},{  ""ste"": ""It is bad if someone thinks about me like this.""},{  ""ste"": ""Because of this, I say some things, I don’t say some other things.""}","{""nsm"": ""[people think like this:]""},{""nsm"": ""when I want someone to do something""},{""nsm"": ""I don’t want this person to think like this:""},",,,,,,,,,,,,,,
,16,4,,,,"  {""ste"": ""When I want someone to do something for me], I don’t want this person to think like this “This person wants me to do it, I can’t not do it.”""},{  ""ste"": ""It is bad if someone thinks about me like this.""},{  ""ste"": ""Because of this, I say some things, I don’t say some other things.""},{  ""ste"": """"}","{""nsm"": ""[people think like this:]""},{""nsm"": ""when I want someone to do something""},{""nsm"": ""I don’t want this person to think like this:""},{""nsm"": ""because this person wants me to do it, I can’t not do it""},",,,,,,,,,,,,,,
,17,1,that’s not fair,,"I say: people can’t do things like this. If someone does something like this, he/she does something bad.","  {""ste"": ""I say: people can’t do things like this. If someone does something like this, he/she does something bad.""}","{""nsm"": ""I say:""},",,{Goddard:2014ve p. 84},,,,,phrase,,,,,,,
